№,Team,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
Charlie Taylor,Burnley,6,540,0.0,0.0,0.0,0.03+0.03,0.03+0.03,0.10+0.10,1.15,1.05,0.00,0.00,0.02,0.02,0.02,0.19,0.18
Lewis Dunk,Brighton,5,450,0.0,0.0,0.0,0.64+0.64,0.64+0.64,0.01+0.01,1.38,1.38,0.13,0.13,0.00,0.13,0.13,0.28,0.28
Dale Stephens,Burnley,3,209,0.0,0.0,0.0,0.05+0.05,0.05+0.05,0.00,0.16,0.10,0.02,0.02,0.00,0.02,0.02,0.07,0.04
Ederson,Manchester City,6,540,0.0,0.0,0.0,0.00,0.00,0.00,1.36,1.36,0.00,0.00,0.00,0.00,0.00,0.23,0.23
Isaac Hayden,Newcastle United,6,418,0.0,0.0,0.0,0.03+0.03,0.03+0.03,0.03+0.03,1.29,1.25,0.01,0.01,0.01,0.01,0.01,0.28,0.27
Victor Lindelöf,Manchester United,5,450,0.0,0.0,0.0,0.13+0.13,0.13+0.13,0.09+0.09,0.76,0.76,0.03,0.03,0.02,0.04,0.04,0.15,0.15
Douglas Luiz,Aston Villa,6,533,0.0,0.0,1.0,0.14+0.14,0.14+0.14,0.53-0.47,1.34,0.73,0.02,0.02,0.09,0.11,0.11,0.23,0.12
Cengiz Ünder,Leicester,3,65,0.0,0.0,2.0,0.00,0.00,1.42-0.58,2.01,0.59,0.00,0.00,1.97,1.97,1.97,2.78,0.82
Nélson Semedo,Wolverhampton Wanderers,5,422,0.0,0.0,0.0,0.43+0.43,0.43+0.43,0.07+0.07,1.52,1.08,0.09,0.09,0.02,0.11,0.11,0.33,0.23
Davinson Sánchez,Tottenham,4,360,0.0,0.0,0.0,0.25+0.25,0.25+0.25,0.00,0.92,0.92,0.06,0.06,0.00,0.06,0.06,0.23,0.23
Robin Koch,Leeds,7,630,0.0,0.0,0.0,0.34+0.34,0.34+0.34,0.00,3.06,3.03,0.05,0.05,0.00,0.05,0.05,0.44,0.43
Andriy Yarmolenko,West Ham,5,90,0.0,0.0,0.0,0.11+0.11,0.11+0.11,0.03+0.03,0.17,0.05,0.11,0.11,0.03,0.14,0.14,0.17,0.05
Joachim Andersen,Fulham,1,90,0.0,0.0,0.0,0.02+0.02,0.02+0.02,0.00,0.03,0.03,0.02,0.02,0.00,0.02,0.02,0.03,0.03
Ethan Ampadu,Sheffield United,4,305,0.0,0.0,0.0,0.04+0.04,0.04+0.04,0.11+0.11,0.46,0.46,0.01,0.01,0.03,0.04,0.04,0.14,0.14
Joe Rodon,Tottenham,1,1,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hamza Choudhury,Leicester,2,11,0.0,0.0,0.0,0.00,0.00,0.00,0.1,0.10,0.00,0.00,0.00,0.00,0.00,0.82,0.82
Ben Johnson,West Ham,1,40,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Franck Zambo,Fulham,7,543,0.0,0.0,1.0,0.37+0.37,0.37+0.37,0.56-0.44,2.13,1.39,0.06,0.06,0.09,0.16,0.16,0.35,0.23
Ferrán Torres,Manchester City,4,179,0.0,0.0,1.0,1.44+1.44,1.44+1.44,0.14-0.86,1.62,0.06,0.72,0.72,0.07,0.80,0.80,0.82,0.03
Cenk Tosun,Everton,1,20,0.0,0.0,0.0,0.00,0.00,0.07+0.07,0.11,0.03,0.00,0.00,0.33,0.33,0.33,0.49,0.15
Michael Obafemi,Southampton,1,12,0.0,0.0,0.0,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.50,0.50
Curtis Jones,Liverpool,3,120,0.0,0.0,0.0,0.03+0.03,0.03+0.03,0.03+0.03,0.28,0.22,0.02,0.02,0.02,0.04,0.04,0.21,0.17
Ibrahima Diallo,Southampton,3,14,0.0,0.0,0.0,0.00,0.00,0.04+0.04,0.06,0.02,0.00,0.00,0.24,0.24,0.24,0.38,0.14
Dwight McNeil,Burnley,6,540,0.0,0.0,1.0,0.04+0.04,0.04+0.04,0.44-0.56,0.65,0.50,0.01,0.01,0.07,0.08,0.08,0.11,0.08
Fred,Manchester United,5,288,0.0,0.0,0.0,0.10+0.10,0.10+0.10,0.03+0.03,0.44,0.41,0.03,0.03,0.01,0.04,0.04,0.14,0.13
Joe Bryan,Fulham,5,338,0.0,0.0,0.0,0.08+0.08,0.08+0.08,0.10+0.10,0.54,0.43,0.02,0.02,0.03,0.05,0.05,0.14,0.11
Neeskens Kebano,Fulham,4,111,0.0,0.0,0.0,0.27+0.27,0.27+0.27,0.00,0.24,0.02,0.22,0.22,0.00,0.22,0.22,0.20,0.02
Alireza Jahanbakhsh,Brighton,3,21,0.0,0.0,1.0,0.15+0.15,0.15+0.15,0.82-0.18,1.1,0.70,0.65,0.65,3.53,4.18,4.18,4.71,3.00
Rui Patrício,Wolverhampton Wanderers,7,630,0.0,0.0,0.0,0.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Willy Boly,Wolverhampton Wanderers,7,630,0.0,0.0,0.0,0.16+0.16,0.16+0.16,0.00,0.7,0.70,0.02,0.02,0.00,0.02,0.02,0.10,0.10
Conor Coady,Wolverhampton Wanderers,7,630,0.0,0.0,0.0,0.00,0.00,0.05+0.05,0.56,0.51,0.00,0.00,0.01,0.01,0.01,0.08,0.07
Matt Doherty,Tottenham,5,436,0.0,0.0,0.0,0.31+0.31,0.31+0.31,0.12+0.12,2.37,2.34,0.06,0.06,0.02,0.09,0.09,0.49,0.48
Rúben Neves,Wolverhampton Wanderers,7,463,0.0,0.0,0.0,0.43+0.43,0.43+0.43,0.26+0.26,1.43,0.87,0.08,0.08,0.05,0.13,0.13,0.28,0.17
Rúben Vinagre,Wolverhampton Wanderers,2,173,0.0,0.0,0.0,0.00,0.00,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.09,0.09
Edouard Mendy,Chelsea,3,270,0.0,0.0,0.0,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Ryan Fredericks,West Ham,3,230,0.0,0.0,1.0,0.00,0.00,1.10+0.10,0.54,0.14,0.00,0.00,0.43,0.43,0.43,0.21,0.05
Stuart Armstrong,Southampton,5,428,0.0,0.0,2.0,0.42+0.42,0.42+0.42,0.41-1.59,1.13,0.55,0.09,0.09,0.09,0.17,0.17,0.24,0.12
Robin Olsen,Everton,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bernard,Everton,2,72,0.0,0.0,0.0,0.00,0.00,0.16+0.16,0.35,0.21,0.00,0.00,0.20,0.20,0.20,0.44,0.27
Denis Odoi,Fulham,3,270,0.0,0.0,0.0,0.04+0.04,0.04+0.04,0.05+0.05,0.43,0.39,0.01,0.01,0.02,0.03,0.03,0.14,0.13
Sean Longstaff,Newcastle United,4,102,0.0,0.0,0.0,0.16+0.16,0.16+0.16,0.07+0.07,0.32,0.17,0.14,0.14,0.06,0.19,0.19,0.28,0.15
Tim Ream,Fulham,5,450,0.0,0.0,0.0,0.00,0.00,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00,0.12,0.12
Sergio Reguilón,Tottenham,3,270,0.0,0.0,2.0,0.10+0.10,0.10+0.10,1.09-0.91,1.39,0.72,0.03,0.03,0.36,0.40,0.40,0.46,0.24
Leander Dendoncker,Wolverhampton Wanderers,6,460,0.0,0.0,0.0,0.53+0.53,0.53+0.53,0.24+0.24,1.43,0.75,0.10,0.10,0.05,0.15,0.15,0.28,0.15
Ben White,Brighton,7,623,0.0,0.0,0.0,0.05+0.05,0.05+0.05,0.06+0.06,1.79,1.74,0.01,0.01,0.01,0.02,0.02,0.26,0.25
Max Kilman,Wolverhampton Wanderers,4,360,0.0,0.0,1.0,0.00,0.00,0.16-0.84,0.42,0.33,0.00,0.00,0.04,0.04,0.04,0.11,0.08
Dan Burn,Brighton,4,290,0.0,0.0,0.0,0.12+0.12,0.12+0.12,0.00,0.51,0.51,0.04,0.04,0.00,0.04,0.04,0.16,0.16
Miguel Almirón,Newcastle United,6,298,0.0,0.0,1.0,0.27+0.27,0.27+0.27,0.71-0.29,1.42,0.63,0.08,0.08,0.21,0.30,0.30,0.43,0.19
Mason Greenwood,Manchester United,5,277,0.0,0.0,0.0,0.59+0.59,0.59+0.59,0.20+0.20,0.73,0.04,0.19,0.19,0.06,0.26,0.26,0.24,0.01
Wesley Fofana,Leicester,3,270,0.0,0.0,0.0,0.00,0.00,0.00,0.44,0.44,0.00,0.00,0.00,0.00,0.00,0.15,0.15
Ben Godfrey,Everton,2,150,0.0,0.0,0.0,0.00,0.00,0.03+0.03,0.1,0.10,0.00,0.00,0.02,0.02,0.02,0.06,0.06
Jamal Lewis,Newcastle United,7,558,0.0,0.0,0.0,0.00,0.00,0.25+0.25,1.48,1.25,0.00,0.00,0.04,0.04,0.04,0.24,0.20
Adam Webster,Brighton,7,630,0.0,0.0,0.0,0.37+0.37,0.37+0.37,0.07+0.07,1.63,1.55,0.05,0.05,0.01,0.06,0.06,0.23,0.22
John Egan,Sheffield United,6,461,0.0,0.0,0.0,0.05+0.05,0.05+0.05,0.00,1.23,1.23,0.01,0.01,0.00,0.01,0.01,0.24,0.24
Chris Basham,Sheffield United,7,575,0.0,0.0,0.0,0.12+0.12,0.12+0.12,0.41+0.41,1.24,0.71,0.02,0.02,0.06,0.08,0.08,0.19,0.11
Jack O'Connell,Sheffield United,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
George Baldock,Sheffield United,7,630,0.0,0.0,1.0,0.20+0.20,0.20+0.20,1.10+0.10,1.63,1.30,0.03,0.03,0.16,0.19,0.19,0.23,0.19
Enda Stevens,Sheffield United,7,630,0.0,0.0,0.0,0.20+0.20,0.20+0.20,0.08+0.08,1.9,1.76,0.03,0.03,0.01,0.04,0.04,0.27,0.25
John Lundstram,Sheffield United,7,539,0.0,0.0,0.0,1.37+1.37,0.61+0.61,0.73+0.73,2.66,1.43,0.23,0.10,0.12,0.35,0.22,0.44,0.24
John Fleck,Sheffield United,3,183,0.0,0.0,0.0,0.04+0.04,0.04+0.04,0.10+0.10,0.15,0.10,0.02,0.02,0.05,0.07,0.07,0.08,0.05
Oliver Norwood,Sheffield United,4,217,0.0,0.0,0.0,0.00,0.00,0.06+0.06,1.25,1.22,0.00,0.00,0.02,0.02,0.02,0.52,0.51
Ben Osborn,Sheffield United,5,322,0.0,0.0,0.0,0.19+0.19,0.19+0.19,0.61+0.61,0.97,0.76,0.05,0.05,0.17,0.22,0.22,0.27,0.21
Trézéguet,Aston Villa,6,480,0.0,0.0,1.0,0.70+0.70,0.70+0.70,1.56+0.56,2.34,0.91,0.13,0.13,0.29,0.42,0.42,0.44,0.17
Daniel N'Lundulu,Southampton,1,1,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Steven Alzate,Brighton,5,357,0.0,0.0,0.0,0.16+0.16,0.16+0.16,0.80+0.80,2.16,1.76,0.04,0.04,0.20,0.24,0.24,0.54,0.44
Raphinha,Leeds,2,12,0.0,0.0,0.0,0.10+0.10,0.10+0.10,0.00,0.54,0.54,0.78,0.78,0.00,0.78,0.78,4.08,4.08
Marvelous Nakamba,Aston Villa,2,8,0.0,0.0,0.0,0.02+0.02,0.02+0.02,0.00,0.07,0.05,0.25,0.25,0.00,0.25,0.25,0.76,0.51
Eric Garcia,Manchester City,2,180,0.0,0.0,0.0,0.01+0.01,0.01+0.01,0.01+0.01,0.32,0.31,0.01,0.01,0.00,0.01,0.01,0.16,0.16
Kieran Tierney,Arsenal,6,533,0.0,0.0,0.0,0.03+0.03,0.03+0.03,0.26+0.26,1.54,1.37,0.00,0.00,0.04,0.05,0.05,0.26,0.23
Niels Nkounkou,Everton,1,70,0.0,0.0,0.0,0.02+0.02,0.02+0.02,0.00,0.03,0.01,0.02,0.02,0.00,0.02,0.02,0.04,0.02
Anthony Gordon,Everton,1,31,0.0,0.0,0.0,0.00,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.39,0.39
Tyrick Mitchell,Crystal Palace,6,540,0.0,0.0,0.0,0.11+0.11,0.11+0.11,0.00,1.45,1.34,0.02,0.02,0.00,0.02,0.02,0.24,0.22
William Smallbone,Southampton,2,111,0.0,0.0,0.0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Oskar Buur,Wolverhampton Wanderers,1,20,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nathaniel Phillips,Liverpool,1,90,0.0,0.0,0.0,0.00,0.00,0.03+0.03,0.07,0.05,0.00,0.00,0.03,0.03,0.03,0.07,0.05
Takumi Minamino,Liverpool,4,49,0.0,0.0,0.0,0.07+0.07,0.07+0.07,0.00,0.09,0.02,0.13,0.13,0.00,0.13,0.13,0.17,0.04
Jack Robinson,Sheffield United,3,252,0.0,0.0,0.0,0.55+0.55,0.55+0.55,0.00,0.55,0.55,0.20,0.20,0.00,0.20,0.20,0.20,0.20
Tomas Soucek,West Ham,7,630,0.0,0.0,0.0,1.70+1.70,1.70+1.70,0.32+0.32,2.61,1.16,0.24,0.24,0.05,0.29,0.29,0.37,0.17
Steven Bergwijn,Tottenham,4,148,0.0,0.0,0.0,0.14+0.14,0.14+0.14,0.18+0.18,1.52,1.39,0.08,0.08,0.11,0.19,0.19,0.93,0.84
Josh Brownhill,Burnley,6,540,0.0,0.0,0.0,0.31+0.31,0.31+0.31,0.42+0.42,1.56,1.22,0.05,0.05,0.07,0.12,0.12,0.26,0.20
Ki-Jana Hoever,Wolverhampton Wanderers,2,28,0.0,0.0,0.0,0.00,0.00,0.04+0.04,0.05,0.05,0.00,0.00,0.13,0.13,0.13,0.17,0.17
Nathan Tella,Southampton,3,42,0.0,0.0,0.0,0.02+0.02,0.02+0.02,0.00,0.21,0.19,0.05,0.05,0.00,0.05,0.05,0.45,0.40
Luke Thomas,Leicester,1,90,0.0,0.0,0.0,0.06+0.06,0.06+0.06,0.00,0.06,0.00,0.06,0.06,0.00,0.06,0.06,0.06,0.00
Marek Rodák,Fulham,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Eberechi Eze,Crystal Palace,6,223,0.0,0.0,0.0,0.87+0.87,0.87+0.87,0.08+0.08,1.05,0.18,0.35,0.35,0.03,0.39,0.39,0.43,0.07
Illan Meslier,Leeds,7,630,0.0,0.0,0.0,0.00,0.00,0.04+0.04,2.24,2.20,0.00,0.00,0.01,0.01,0.01,0.32,0.31
Luke Ayling,Leeds,7,630,0.0,0.0,0.0,0.51+0.51,0.51+0.51,1.32+1.32,4.16,3.20,0.07,0.07,0.19,0.26,0.26,0.59,0.46
Pascal Struijk,Leeds,3,187,0.0,0.0,0.0,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.06,0.06
Kalvin Phillips,Leeds,5,450,0.0,0.0,1.0,0.05+0.05,0.05+0.05,0.68-0.32,1.02,0.80,0.01,0.01,0.14,0.15,0.15,0.20,0.16
Jamie Shackleton,Leeds,3,124,0.0,0.0,0.0,0.00,0.00,0.02+0.02,1.14,1.14,0.00,0.00,0.02,0.02,0.02,0.83,0.83
Ezgjan Alioski,Leeds,5,164,0.0,0.0,0.0,0.44+0.44,0.44+0.44,0.84+0.84,1.56,0.37,0.24,0.24,0.46,0.70,0.70,0.85,0.21
Ian Poveda-Ocampo,Leeds,4,126,0.0,0.0,0.0,0.55+0.55,0.55+0.55,0.09+0.09,0.66,0.03,0.39,0.39,0.06,0.45,0.45,0.47,0.02
Dara O'Shea,West Bromwich Albion,4,360,0.0,0.0,0.0,0.03+0.03,0.03+0.03,0.02+0.02,0.34,0.33,0.01,0.01,0.00,0.01,0.01,0.09,0.08
Romaine Sawyers,West Bromwich Albion,6,344,0.0,0.0,0.0,0.06+0.06,0.06+0.06,0.17+0.17,0.44,0.39,0.01,0.01,0.04,0.06,0.06,0.12,0.10
Kyle Edwards,West Bromwich Albion,4,109,0.0,0.0,0.0,0.12+0.12,0.12+0.12,0.02+0.02,0.19,0.05,0.10,0.10,0.02,0.12,0.12,0.16,0.04
Vitinha,Wolverhampton Wanderers,2,18,0.0,0.0,0.0,0.00,0.00,0.01+0.01,0.11,0.09,0.00,0.00,0.07,0.07,0.07,0.53,0.46
Fabio Silva,Wolverhampton Wanderers,3,38,0.0,0.0,0.0,0.10+0.10,0.10+0.10,0.01+0.01,0.11,0.01,0.24,0.24,0.03,0.27,0.27,0.27,0.03
Joël Veltman,Brighton,3,222,0.0,0.0,0.0,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.02,0.02
Liam Cooper,Leeds,4,360,0.0,0.0,0.0,0.12+0.12,0.12+0.12,0.00,2.62,2.62,0.03,0.03,0.00,0.03,0.03,0.66,0.66
Matthew Cash,Aston Villa,6,511,0.0,0.0,0.0,0.05+0.05,0.05+0.05,0.20+0.20,0.9,0.68,0.01,0.01,0.04,0.04,0.04,0.16,0.12
Liam Delap,Manchester City,1,39,0.0,0.0,0.0,0.06+0.06,0.06+0.06,0.00,0.06,0.00,0.15,0.15,0.00,0.15,0.15,0.15,0.00
