Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,15,1264,13.0,8.0,3.0,8.95,5.14,3.00,10.07,4.15,0.64,0.37,0.21,0.85,0.58,0.72,0.30
Son Heung-Min,TOT,15,1279,11.0,11.0,4.0,4.99,4.99,3.18,7.88,2.68,0.35,0.35,0.22,0.58,0.58,0.55,0.19
Jamie Vardy,LEI,15,1212,11.0,5.0,4.0,11.64,6.32,1.44,7.39,0.77,0.86,0.47,0.11,0.97,0.58,0.55,0.06
Dominic Calvert-Lewin,EVE,15,1333,11.0,11.0,0.0,10.38,10.38,0.57,10.88,2.63,0.70,0.70,0.04,0.74,0.74,0.73,0.18
Patrick Bamford,LEE,16,1376,10.0,9.0,2.0,9.99,9.23,0.96,11.91,2.17,0.65,0.60,0.06,0.72,0.67,0.78,0.14
Bruno Fernandes,MUN,15,1222,10.0,6.0,7.0,7.49,3.69,5.93,10.41,3.19,0.55,0.27,0.44,0.99,0.71,0.77,0.24
Harry Kane,TOT,15,1347,9.0,7.0,10.0,8.57,7.05,4.34,9.34,1.60,0.57,0.47,0.29,0.86,0.76,0.62,0.11
Callum Wilson,NEW,13,1153,8.0,4.0,3.0,8.60,5.56,1.91,7.74,0.33,0.67,0.43,0.15,0.82,0.58,0.60,0.03
Wilfried Zaha,CRY,14,1253,8.0,6.0,2.0,5.96,4.43,2.24,7.97,1.80,0.43,0.32,0.16,0.59,0.48,0.57,0.13
Marcus Rashford,MUN,15,1276,7.0,7.0,4.0,5.95,5.95,1.38,9.06,2.71,0.42,0.42,0.10,0.52,0.52,0.64,0.19
Tammy Abraham,CHE,14,773,6.0,6.0,1.0,5.18,5.18,0.72,6.95,2.06,0.60,0.60,0.08,0.69,0.69,0.81,0.24
Sadio Mané,LIV,15,1244,6.0,6.0,2.0,6.46,6.46,2.08,10.91,3.44,0.47,0.47,0.15,0.62,0.62,0.79,0.25
Danny Ings,SOU,12,979,6.0,4.0,3.0,4.42,2.90,0.85,4.21,0.76,0.41,0.27,0.08,0.48,0.34,0.39,0.07
Ollie Watkins,AVL,14,1260,6.0,5.0,2.0,8.63,7.11,1.89,10.08,2.94,0.62,0.51,0.13,0.75,0.64,0.72,0.21
Roberto Firmino,LIV,16,1332,5.0,5.0,3.0,6.35,6.35,2.08,11.44,4.69,0.43,0.43,0.14,0.57,0.57,0.77,0.32
Jack Grealish,AVL,14,1260,5.0,5.0,6.0,4.16,4.16,6.24,12.17,4.50,0.30,0.30,0.45,0.74,0.74,0.87,0.32
Alexandre Lacazette,ARS,13,774,5.0,4.0,0.0,4.60,3.84,0.59,4.83,0.67,0.53,0.45,0.07,0.60,0.51,0.56,0.08
Neal Maupay,BHA,14,1033,5.0,3.0,1.0,7.43,5.15,1.01,7.57,2.12,0.65,0.45,0.09,0.74,0.54,0.66,0.18
Anwar El Ghazi,AVL,8,397,5.0,3.0,0.0,4.50,2.98,0.87,3.12,0.67,1.02,0.67,0.20,1.22,0.87,0.71,0.15
Harvey Barnes,LEI,15,1102,5.0,5.0,1.0,3.32,3.32,0.32,3.3,0.42,0.27,0.27,0.03,0.30,0.30,0.27,0.03
Diogo Jota,LIV,9,496,5.0,5.0,0.0,2.63,2.63,1.44,5.12,1.65,0.48,0.48,0.26,0.74,0.74,0.93,0.30
Timo Werner,CHE,16,1276,4.0,4.0,4.0,6.79,6.79,2.84,9.8,2.56,0.48,0.48,0.20,0.68,0.68,0.69,0.18
Raheem Sterling,MCI,13,1090,4.0,4.0,3.0,4.04,4.04,3.20,10.12,5.78,0.33,0.33,0.26,0.60,0.60,0.84,0.48
Riyad Mahrez,MCI,10,770,4.0,4.0,1.0,3.20,3.20,2.85,7.91,3.05,0.37,0.37,0.33,0.71,0.71,0.93,0.36
James Ward-Prowse,SOU,16,1440,4.0,4.0,3.0,1.09,1.09,1.65,4.13,3.41,0.07,0.07,0.10,0.17,0.17,0.26,0.21
Kurt Zouma,CHE,14,1260,4.0,4.0,0.0,1.50,1.50,0.06,2.18,2.16,0.11,0.11,0.00,0.11,0.11,0.16,0.15
Jarrod Bowen,WHU,16,1243,4.0,4.0,2.0,3.64,3.64,1.60,6.48,2.28,0.26,0.26,0.12,0.38,0.38,0.47,0.17
Raúl Jiménez,WOL,10,824,4.0,4.0,0.0,2.36,2.36,0.63,3.68,1.23,0.26,0.26,0.07,0.33,0.33,0.40,0.13
Pedro Neto,WOL,16,1280,4.0,4.0,3.0,2.65,2.65,2.64,6.38,2.34,0.19,0.19,0.19,0.37,0.37,0.45,0.16
Bobby Reid,FUL,14,943,4.0,4.0,0.0,2.64,2.64,0.06,3.64,1.23,0.25,0.25,0.01,0.26,0.26,0.35,0.12
Che Adams,SOU,16,1370,4.0,4.0,4.0,4.91,4.91,3.29,7.0,1.05,0.32,0.32,0.22,0.54,0.54,0.46,0.07
David McGoldrick,SHU,14,836,4.0,4.0,1.0,2.77,2.77,0.74,4.19,1.90,0.30,0.30,0.08,0.38,0.38,0.45,0.20
Tomas Soucek,WHU,16,1440,4.0,4.0,0.0,4.23,4.23,0.39,5.06,2.52,0.26,0.26,0.02,0.29,0.29,0.32,0.16
Jannik Vestergaard,SOU,13,1122,3.0,3.0,0.0,0.74,0.74,0.63,2.82,2.78,0.06,0.06,0.05,0.11,0.11,0.23,0.22
Pierre-Emerick Aubameyang,ARS,14,1257,3.0,2.0,1.0,3.36,2.60,1.50,5.32,1.39,0.24,0.19,0.11,0.35,0.29,0.38,0.10
Olivier Giroud,CHE,9,357,3.0,3.0,0.0,3.02,3.02,1.14,1.76,0.08,0.76,0.76,0.29,1.05,1.05,0.44,0.02
Michail Antonio,WHU,8,549,3.0,3.0,0.0,2.96,2.96,0.34,3.67,0.63,0.49,0.49,0.06,0.54,0.54,0.60,0.10
Christian Benteke,CRY,11,480,3.0,3.0,0.0,2.53,2.53,0.44,2.67,0.91,0.47,0.47,0.08,0.56,0.56,0.50,0.17
Jorginho,CHE,10,645,3.0,0.0,1.0,3.90,0.09,0.19,2.18,2.12,0.54,0.01,0.03,0.57,0.04,0.30,0.30
James Rodríguez,EVE,10,861,3.0,3.0,3.0,2.21,2.21,3.85,8.15,4.88,0.23,0.23,0.40,0.63,0.63,0.85,0.51
