Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,14,1174,13.0,8.0,3.0,8.31,4.50,3.00,9.44,3.86,0.64,0.35,0.23,0.87,0.58,0.72,0.30
Son Heung-Min,TOT,15,1279,11.0,11.0,4.0,4.99,4.99,3.18,7.88,2.68,0.35,0.35,0.22,0.58,0.58,0.55,0.19
Jamie Vardy,LEI,14,1189,11.0,5.0,4.0,11.64,6.32,1.44,7.29,0.67,0.88,0.48,0.11,0.99,0.59,0.55,0.05
Dominic Calvert-Lewin,EVE,15,1333,11.0,11.0,0.0,10.38,10.38,0.57,10.88,2.63,0.70,0.70,0.04,0.74,0.74,0.73,0.18
Patrick Bamford,LEE,15,1286,10.0,9.0,1.0,9.45,8.69,0.49,10.9,2.17,0.66,0.61,0.03,0.70,0.64,0.76,0.15
Bruno Fernandes,MUN,14,1132,10.0,6.0,6.0,6.98,3.18,5.81,9.72,2.65,0.56,0.25,0.46,1.02,0.71,0.77,0.21
Harry Kane,TOT,15,1347,9.0,7.0,10.0,8.57,7.05,4.34,9.34,1.60,0.57,0.47,0.29,0.86,0.76,0.62,0.11
Callum Wilson,NEW,12,1063,8.0,4.0,3.0,8.28,5.23,1.83,7.37,0.33,0.70,0.44,0.15,0.86,0.60,0.62,0.03
Wilfried Zaha,CRY,13,1163,7.0,5.0,2.0,5.83,4.30,2.24,7.73,1.68,0.45,0.33,0.17,0.62,0.51,0.60,0.13
Marcus Rashford,MUN,14,1186,6.0,6.0,4.0,5.84,5.84,1.38,8.42,2.19,0.44,0.44,0.10,0.55,0.55,0.64,0.17
Tammy Abraham,CHE,14,773,6.0,6.0,1.0,5.18,5.18,0.72,6.95,2.06,0.60,0.60,0.08,0.69,0.69,0.81,0.24
Sadio Mané,LIV,14,1154,6.0,6.0,2.0,6.36,6.36,2.01,10.51,3.10,0.50,0.50,0.16,0.65,0.65,0.82,0.24
Danny Ings,SOU,11,889,6.0,4.0,3.0,4.42,2.90,0.85,4.21,0.76,0.45,0.29,0.09,0.53,0.38,0.43,0.08
Ollie Watkins,AVL,13,1170,6.0,5.0,2.0,8.60,7.08,1.78,9.99,2.90,0.66,0.54,0.14,0.80,0.68,0.77,0.22
