Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Harry Kane,TOT,27,2377,17.0,13.0,13.0,15.40,12.35,6.74,18.05,3.60,0.58,0.47,0.26,0.84,0.72,0.68,0.14
Mohamed Salah,LIV,28,2349,17.0,11.0,3.0,14.34,9.77,4.05,18.62,7.44,0.55,0.37,0.16,0.70,0.53,0.71,0.29
Bruno Fernandes,MUN,29,2479,16.0,8.0,10.0,13.10,6.25,9.65,19.99,8.24,0.48,0.23,0.35,0.83,0.58,0.73,0.30
Patrick Bamford,LEE,29,2456,14.0,13.0,6.0,14.47,13.71,3.13,19.49,3.64,0.53,0.50,0.11,0.65,0.62,0.71,0.13
Dominic Calvert-Lewin,EVE,25,2158,14.0,14.0,0.0,15.02,15.02,0.85,15.23,3.67,0.63,0.63,0.04,0.66,0.66,0.64,0.15
Son Heung-Min,TOT,28,2377,13.0,13.0,9.0,8.79,8.79,7.84,17.16,5.31,0.33,0.33,0.30,0.63,0.63,0.65,0.20
Ilkay Gündogan,MCI,23,1750,12.0,11.0,1.0,8.61,7.08,3.25,17.02,8.81,0.44,0.36,0.17,0.61,0.53,0.88,0.45
Jamie Vardy,LEI,25,2050,12.0,6.0,7.0,16.00,10.68,4.17,14.64,1.05,0.70,0.47,0.18,0.89,0.65,0.64,0.05
Alexandre Lacazette,ARS,25,1638,11.0,8.0,2.0,10.99,8.71,1.69,12.91,2.85,0.60,0.48,0.09,0.70,0.57,0.71,0.16
Callum Wilson,NEW,21,1818,10.0,6.0,5.0,11.65,8.60,2.44,11.3,0.65,0.58,0.43,0.12,0.70,0.55,0.56,0.03
Ollie Watkins,AVL,28,2520,10.0,9.0,3.0,13.01,11.49,3.95,16.76,4.47,0.46,0.41,0.14,0.61,0.55,0.60,0.16
Pierre-Emerick Aubameyang,ARS,24,1924,9.0,7.0,1.0,8.65,7.13,1.57,12.28,3.78,0.40,0.33,0.07,0.48,0.41,0.57,0.18
Wilfried Zaha,CRY,21,1805,9.0,7.0,2.0,7.29,5.77,2.60,9.88,2.20,0.36,0.29,0.13,0.49,0.42,0.49,0.11
Marcus Rashford,MUN,29,2390,9.0,9.0,7.0,8.38,8.38,2.99,16.37,7.06,0.32,0.32,0.11,0.43,0.43,0.62,0.27
Raheem Sterling,MCI,25,2063,9.0,9.0,5.0,10.34,9.58,5.09,20.96,10.34,0.45,0.42,0.22,0.67,0.64,0.91,0.45
Riyad Mahrez,MCI,23,1634,9.0,9.0,4.0,4.97,4.97,5.28,15.89,7.38,0.27,0.27,0.29,0.56,0.56,0.88,0.41
Harvey Barnes,LEI,25,1954,9.0,9.0,4.0,6.70,6.70,1.77,8.89,1.59,0.31,0.31,0.08,0.39,0.39,0.41,0.07
Tomas Soucek,WHU,29,2610,9.0,9.0,0.0,7.43,7.43,1.19,12.08,6.11,0.26,0.26,0.04,0.30,0.30,0.42,0.21
Danny Ings,SOU,22,1697,8.0,6.0,3.0,6.14,4.62,2.09,7.65,1.60,0.33,0.25,0.11,0.44,0.36,0.41,0.08
Neal Maupay,BHA,27,2064,8.0,5.0,2.0,11.63,8.58,3.57,14.08,3.05,0.51,0.37,0.16,0.66,0.53,0.61,0.13
James Maddison,LEI,23,1642,8.0,8.0,5.0,2.95,2.95,3.96,8.31,4.47,0.16,0.16,0.22,0.38,0.38,0.46,0.24
Michail Antonio,WHU,20,1528,7.0,7.0,5.0,11.41,11.41,2.84,15.79,2.07,0.67,0.67,0.17,0.84,0.84,0.93,0.12
Sadio Mané,LIV,26,2171,7.0,7.0,4.0,9.99,9.99,5.29,17.28,4.23,0.41,0.41,0.22,0.63,0.63,0.72,0.18
James Ward-Prowse,SOU,29,2610,7.0,5.0,5.0,3.45,1.93,2.74,8.03,7.07,0.12,0.07,0.09,0.21,0.16,0.28,0.24
Gabriel Jesus,MCI,21,1469,7.0,7.0,3.0,7.57,7.57,2.11,12.83,4.14,0.46,0.46,0.13,0.59,0.59,0.79,0.25
Che Adams,SOU,28,2186,7.0,7.0,4.0,8.48,8.48,4.07,10.76,1.47,0.35,0.35,0.17,0.52,0.52,0.44,0.06
Roberto Firmino,LIV,27,2179,6.0,6.0,5.0,10.52,10.52,3.29,18.63,7.46,0.43,0.43,0.14,0.57,0.57,0.77,0.31
Kelechi Iheanacho,LEI,16,721,6.0,6.0,0.0,5.04,4.27,1.83,7.01,1.29,0.63,0.53,0.23,0.86,0.76,0.88,0.16
Jack Grealish,AVL,22,1980,6.0,6.0,10.0,5.12,5.12,8.95,16.68,6.45,0.23,0.23,0.41,0.64,0.64,0.76,0.29
Tammy Abraham,CHE,20,1012,6.0,6.0,1.0,5.49,5.49,0.72,7.18,2.11,0.49,0.49,0.06,0.55,0.55,0.64,0.19
Jorginho,CHE,20,1442,6.0,0.0,1.0,6.21,0.12,0.83,6.94,6.61,0.39,0.01,0.05,0.44,0.06,0.43,0.41
Jarrod Bowen,WHU,29,2055,6.0,6.0,3.0,5.50,5.50,3.40,9.97,2.67,0.24,0.24,0.15,0.39,0.39,0.44,0.12
Edinson Cavani,MUN,18,910,6.0,6.0,2.0,6.47,6.47,1.64,8.78,1.96,0.64,0.64,0.16,0.80,0.80,0.87,0.19
Chris Wood,BUR,24,1983,6.0,6.0,0.0,7.44,7.44,0.99,8.76,1.10,0.34,0.34,0.04,0.38,0.38,0.40,0.05
Anwar El Ghazi,AVL,18,909,6.0,4.0,0.0,5.78,4.25,1.33,5.06,1.69,0.57,0.42,0.13,0.70,0.55,0.50,0.17
Youri Tielemans,LEI,29,2549,6.0,4.0,3.0,3.47,1.94,2.05,13.51,10.37,0.12,0.07,0.07,0.19,0.14,0.48,0.37
Richarlison,EVE,24,1997,6.0,5.0,3.0,7.74,6.98,2.39,11.4,3.92,0.35,0.31,0.11,0.46,0.42,0.51,0.18
Phil Foden,MCI,22,1339,6.0,6.0,5.0,4.50,4.50,4.55,11.0,4.12,0.30,0.30,0.31,0.61,0.61,0.74,0.28
Diogo Jota,LIV,12,697,6.0,6.0,0.0,2.86,2.86,1.51,5.68,1.91,0.37,0.37,0.19,0.56,0.56,0.73,0.25
David McGoldrick,SHU,26,1628,6.0,6.0,1.0,5.63,5.63,0.93,7.74,2.69,0.31,0.31,0.05,0.36,0.36,0.43,0.15
Raphinha,LEE,24,1895,6.0,6.0,5.0,5.36,5.36,7.01,13.5,5.16,0.25,0.25,0.33,0.59,0.59,0.64,0.25
Jack Harrison,LEE,28,2172,6.0,6.0,5.0,4.28,4.28,5.63,14.58,5.99,0.18,0.18,0.23,0.41,0.41,0.60,0.25
Timo Werner,CHE,28,2046,5.0,5.0,5.0,11.14,11.14,3.87,16.08,4.56,0.49,0.49,0.17,0.66,0.66,0.71,0.20
Kevin De Bruyne,MCI,23,1829,5.0,3.0,11.0,9.82,7.53,9.45,19.83,9.96,0.48,0.37,0.47,0.95,0.84,0.98,0.49
Jesse Lingard,WHU,7,624,5.0,5.0,2.0,2.95,2.19,1.52,3.32,0.97,0.43,0.32,0.22,0.65,0.54,0.48,0.14
Christian Benteke,CRY,22,1156,5.0,5.0,1.0,4.45,4.45,0.62,5.42,2.29,0.35,0.35,0.05,0.39,0.39,0.42,0.18
Bertrand Traoré,AVL,26,1545,5.0,5.0,3.0,4.71,4.71,2.61,6.13,1.00,0.27,0.27,0.15,0.43,0.43,0.36,0.06
James Rodríguez,EVE,18,1374,5.0,5.0,4.0,2.47,2.47,4.57,9.45,5.56,0.16,0.16,0.30,0.46,0.46,0.62,0.36
Gareth Bale,TOT,12,549,5.0,5.0,2.0,2.82,2.82,1.29,4.62,2.27,0.46,0.46,0.21,0.67,0.67,0.76,0.37
Nicolas Pepe,ARS,21,1046,5.0,4.0,1.0,4.45,3.69,0.80,5.33,1.76,0.38,0.32,0.07,0.45,0.39,0.46,0.15
Pedro Neto,WOL,29,2449,5.0,5.0,5.0,4.84,4.84,5.37,10.26,3.89,0.18,0.18,0.20,0.38,0.38,0.38,0.14
Bobby Reid,FUL,25,1697,5.0,5.0,0.0,3.86,3.86,0.65,6.75,2.74,0.20,0.20,0.03,0.24,0.24,0.36,0.15
Rúben Neves,WOL,28,2082,5.0,2.0,1.0,4.41,2.13,1.67,5.09,3.14,0.19,0.09,0.07,0.26,0.16,0.22,0.14
Matheus Pereira,WBA,25,1889,5.0,3.0,3.0,4.07,2.55,3.90,6.37,2.07,0.19,0.12,0.19,0.38,0.31,0.30,0.10
Bukayo Saka,ARS,25,2086,5.0,5.0,2.0,6.83,6.83,3.75,15.63,6.97,0.29,0.29,0.16,0.46,0.46,0.67,0.30
Mason Mount,CHE,28,2235,5.0,4.0,3.0,4.36,3.60,6.54,13.48,8.40,0.18,0.15,0.26,0.44,0.41,0.54,0.34
Stuart Dallas,LEE,29,2602,5.0,5.0,2.0,2.92,2.92,1.76,12.64,9.55,0.10,0.10,0.06,0.16,0.16,0.44,0.33
Olivier Giroud,CHE,14,714,4.0,4.0,0.0,4.45,4.45,1.18,4.56,1.49,0.56,0.56,0.15,0.71,0.71,0.57,0.19
Anthony Martial,MUN,22,1494,4.0,4.0,3.0,7.41,7.41,2.62,11.81,3.32,0.45,0.45,0.16,0.60,0.60,0.71,0.20
John Stones,MCI,18,1620,4.0,4.0,0.0,2.26,2.26,0.01,9.1,9.08,0.13,0.13,0.00,0.13,0.13,0.51,0.50
Gylfi Sigurdsson,EVE,26,1490,4.0,2.0,4.0,3.61,2.08,3.83,4.52,1.41,0.22,0.13,0.23,0.45,0.36,0.27,0.09
Kurt Zouma,CHE,17,1530,4.0,4.0,0.0,1.86,1.86,0.06,3.4,3.39,0.11,0.11,0.00,0.11,0.11,0.20,0.20
Raúl Jiménez,WOL,10,824,4.0,4.0,0.0,2.36,2.36,0.63,3.68,1.23,0.26,0.26,0.07,0.33,0.33,0.40,0.13
Ademola Lookman,FUL,27,2283,4.0,4.0,4.0,5.86,5.10,4.68,14.25,6.99,0.23,0.20,0.18,0.42,0.39,0.56,0.28
Scott McTominay,MUN,25,1604,4.0,4.0,1.0,1.20,1.20,2.05,9.17,6.66,0.07,0.07,0.12,0.18,0.18,0.51,0.37
Lewis Dunk,BHA,26,2340,4.0,4.0,0.0,2.27,2.27,0.54,6.9,6.80,0.09,0.09,0.02,0.11,0.11,0.27,0.26
Miguel Almirón,NEW,25,1676,4.0,4.0,1.0,2.30,2.30,2.08,5.81,2.06,0.12,0.12,0.11,0.24,0.24,0.31,0.11
Leandro Trossard,BHA,26,2014,4.0,4.0,5.0,4.30,4.30,4.64,12.21,5.48,0.19,0.19,0.21,0.40,0.40,0.55,0.24
Jannik Vestergaard,SOU,21,1842,3.0,3.0,0.0,1.83,1.83,0.65,3.62,3.56,0.09,0.09,0.03,0.12,0.12,0.18,0.17
Danny Welbeck,BHA,16,906,3.0,3.0,1.0,4.67,3.91,2.33,6.23,0.79,0.46,0.39,0.23,0.70,0.62,0.62,0.08
Ross Barkley,AVL,20,1213,3.0,3.0,1.0,3.54,3.54,3.45,8.4,3.00,0.26,0.26,0.26,0.52,0.52,0.62,0.22
Craig Dawson,WHU,14,1260,3.0,3.0,0.0,2.21,2.21,0.05,1.51,1.51,0.16,0.16,0.00,0.16,0.16,0.11,0.11
Kyle Bartley,WBA,21,1773,3.0,3.0,1.0,2.47,2.47,0.60,2.18,1.32,0.13,0.13,0.03,0.16,0.16,0.11,0.07
Michael Keane,EVE,27,2266,3.0,3.0,1.0,1.47,1.47,0.98,5.42,5.25,0.06,0.06,0.04,0.10,0.10,0.22,0.21
