Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MUN,17,11,3,3.0,34.0,24,36,29.52,24.96,21.94,18.9,6.06,11.36,11.83,152.0,89.0,28.54
2,LIV,17,9,6,2.0,37.0,21,33,33.16,29.35,20.48,16.67,12.68,8.84,20.36,206.0,54.0,32.25
3,MCI,16,9,5,2.0,25.0,13,32,32.24,29.20,13.07,10.02,19.18,10.53,19.79,170.0,57.0,34.33
4,LEI,17,10,2,5.0,31.0,21,32,26.15,18.54,21.32,20.56,-2.02,11.22,13.49,97.0,85.0,27.23
5,EVE,17,10,2,5.0,28.0,21,32,23.77,22.25,22.32,20.04,2.21,13.06,12.6,102.0,118.0,22.88
6,TOT,17,8,6,3.0,30.0,16,30,27.34,25.05,19.93,16.89,8.17,11.95,11.26,71.0,128.0,27.14
7,SOU,17,8,5,4.0,26.0,19,29,17.55,16.02,20.43,18.91,-2.88,9.0,11.79,96.0,108.0,21.01
8,AVL,15,8,2,5.0,29.0,16,26,29.46,26.41,16.90,15.38,11.04,10.28,8.14,129.0,101.0,28.04
9,CHE,17,7,5,5.0,32.0,21,26,30.52,26.71,17.59,16.07,10.64,9.79,18.1,125.0,90.0,31.72
10,WHU,17,7,5,5.0,24.0,21,26,22.86,22.86,22.40,19.35,3.51,17.44,11.45,81.0,122.0,23.10
11,ARS,18,7,3,8.0,20.0,19,24,23.16,20.87,21.20,20.44,0.43,13.48,16.38,132.0,105.0,25.64
12,LEE,17,7,2,8.0,30.0,33,23,28.90,26.61,33.57,29.0,-2.39,6.65,14.63,150.0,125.0,23.17
13,CRY,18,6,5,7.0,22.0,29,23,18.94,17.42,26.81,23.77,-6.35,16.04,7.44,104.0,120.0,21.30
14,WOL,18,6,4,8.0,19.0,26,22,17.97,16.44,23.72,19.91,-3.47,14.24,11.97,72.0,133.0,20.72
15,NEW,17,5,4,8.0,18.0,27,19,16.60,13.56,25.76,23.48,-9.92,19.22,8.44,62.0,143.0,17.71
16,BUR,16,4,4,8.0,9.0,21,16,13.49,13.49,22.81,20.53,-7.04,13.2,9.39,83.0,139.0,15.05
17,BHA,18,2,8,8.0,21.0,29,14,25.92,21.35,23.57,18.24,3.11,10.19,12.87,123.0,90.0,26.63
18,FUL,16,2,6,8.0,14.0,24,12,18.93,15.13,26.53,22.73,-7.6,14.2,9.7,76.0,102.0,18.46
19,WBA,17,1,5,11.0,11.0,39,8,9.64,9.64,36.18,33.13,-23.49,17.02,9.31,58.0,157.0,7.57
20,SHU,18,1,2,15.0,9.0,29,5,18.89,15.85,28.46,27.7,-11.85,13.95,11.48,104.0,127.0,17.73
