Team_Ranking,Team,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
1,MUN,19,12,4,3.0,36.0,25,40,32.40,27.83,23.90,20.85,6.98,11.4,11.59,164.0,110.0,32.02
2,MCI,18,11,5,2.0,31.0,13,38,36.55,32.74,13.72,10.67,22.07,10.02,20.87,196.0,63.0,39.45
3,LEI,19,12,2,5.0,35.0,21,38,29.42,21.80,22.31,21.55,0.25,11.5,13.0,115.0,97.0,31.70
4,LIV,19,9,7,3.0,37.0,22,34,36.01,32.20,22.75,18.18,14.02,8.57,20.58,243.0,63.0,35.37
5,TOT,18,9,6,3.0,33.0,17,33,28.62,26.34,20.91,17.86,8.47,11.88,11.37,79.0,133.0,28.75
6,EVE,17,10,2,5.0,28.0,21,32,23.77,22.25,22.32,20.04,2.21,13.06,12.6,102.0,118.0,22.88
7,WHU,19,9,5,5.0,27.0,22,32,26.77,26.77,23.26,20.21,6.56,16.84,11.57,91.0,132.0,28.21
8,AVL,17,9,2,6.0,31.0,18,29,32.66,29.62,20.64,18.36,11.26,10.59,8.59,139.0,124.0,30.94
9,CHE,19,8,5,6.0,33.0,23,29,32.52,28.71,19.20,17.68,11.03,9.55,18.21,145.0,105.0,34.67
10,SOU,18,8,5,5.0,26.0,21,29,17.92,16.40,22.55,21.03,-4.63,9.02,11.66,101.0,117.0,21.26
11,ARS,19,8,3,8.0,23.0,19,27,25.46,23.18,21.37,20.61,2.57,13.23,16.83,145.0,107.0,28.43
12,LEE,18,7,2,9.0,30.0,34,23,29.14,26.86,34.71,30.15,-3.29,6.71,14.77,158.0,136.0,23.59
13,CRY,19,6,5,8.0,22.0,33,23,18.99,17.47,27.77,24.73,-7.26,17.0,7.3,107.0,125.0,21.70
14,WOL,19,6,4,9.0,21.0,29,22,19.91,18.39,26.18,20.85,-2.46,13.9,12.2,77.0,140.0,21.69
15,BUR,18,5,4,9.0,10.0,22,19,14.97,14.20,26.20,23.91,-9.71,13.45,9.38,92.0,163.0,16.34
16,NEW,19,5,4,10.0,18.0,32,19,17.17,14.13,30.67,28.39,-14.26,19.4,8.44,66.0,163.0,17.96
17,BHA,19,3,8,8.0,22.0,29,17,27.06,22.50,23.82,18.49,4.01,10.52,12.67,134.0,98.0,28.95
18,FUL,18,2,6,10.0,15.0,27,12,20.15,16.34,29.60,25.79,-9.45,14.73,9.37,86.0,122.0,19.70
19,WBA,19,2,5,12.0,15.0,43,11,12.57,11.05,40.29,37.25,-26.21,17.0,9.35,70.0,168.0,9.58
20,SHU,19,1,2,16.0,10.0,32,5,19.87,16.82,29.74,28.98,-12.16,13.87,11.41,109.0,135.0,18.82
