Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Son Heung-Min,TOT,7,566,8.0,8.0,2.0,3.09,3.09,1.79,5.33,1.96,0.49,0.49,0.28,0.78,0.78,0.85,0.31
Dominic Calvert-Lewin,EVE,7,613,8.0,8.0,0.0,5.77,5.77,0.35,5.68,1.28,0.85,0.85,0.05,0.90,0.90,0.83,0.19
Jamie Vardy,LEI,6,469,7.0,3.0,1.0,5.71,2.67,0.65,3.58,0.27,1.10,0.51,0.12,1.22,0.64,0.69,0.05
Mohamed Salah,LIV,7,630,7.0,4.0,0.0,5.14,2.86,1.95,6.72,2.76,0.73,0.41,0.28,1.01,0.69,0.96,0.39
Callum Wilson,NEW,7,624,6.0,3.0,1.0,6.27,3.98,0.92,5.19,0.31,0.90,0.57,0.13,1.04,0.71,0.75,0.04
Harry Kane,TOT,7,627,6.0,4.0,8.0,6.14,4.62,3.60,6.57,0.73,0.88,0.66,0.52,1.40,1.18,0.94,0.10
Patrick Bamford,LEE,7,586,6.0,6.0,1.0,4.18,4.18,0.35,5.23,1.04,0.64,0.64,0.05,0.70,0.70,0.80,0.16
Wilfried Zaha,CRY,7,630,5.0,3.0,1.0,4.15,2.63,1.70,4.72,0.80,0.59,0.38,0.24,0.84,0.62,0.67,0.11
Danny Ings,SOU,7,626,5.0,4.0,2.0,2.48,1.72,0.39,2.36,0.51,0.36,0.25,0.06,0.41,0.30,0.34,0.07
Jack Grealish,AVL,6,540,4.0,4.0,4.0,2.60,2.60,2.87,5.43,1.63,0.43,0.43,0.48,0.91,0.91,0.91,0.27
Sadio Mané,LIV,6,531,4.0,4.0,1.0,4.01,4.01,1.21,5.93,1.29,0.68,0.68,0.20,0.88,0.88,1.01,0.22
Neal Maupay,BHA,6,540,4.0,2.0,1.0,4.35,2.83,0.56,3.83,0.89,0.73,0.47,0.09,0.82,0.57,0.64,0.15
Raúl Jiménez,WOL,7,630,4.0,4.0,0.0,2.13,2.13,0.51,2.81,0.72,0.30,0.30,0.07,0.38,0.38,0.40,0.10
Ollie Watkins,AVL,6,540,4.0,3.0,1.0,3.78,3.02,0.58,4.27,1.73,0.63,0.50,0.10,0.73,0.60,0.71,0.29
Timo Werner,CHE,7,612,3.0,3.0,1.0,2.71,2.71,0.61,3.68,0.95,0.40,0.40,0.09,0.49,0.49,0.54,0.14
Michail Antonio,WHU,6,490,3.0,3.0,0.0,2.96,2.96,0.34,3.65,0.60,0.54,0.54,0.06,0.61,0.61,0.67,0.11
James Ward-Prowse,SOU,7,630,3.0,3.0,1.0,0.65,0.65,0.97,1.48,1.16,0.09,0.09,0.14,0.23,0.23,0.21,0.17
Kurt Zouma,CHE,6,540,3.0,3.0,0.0,0.55,0.55,0.02,0.55,0.55,0.09,0.09,0.00,0.10,0.10,0.09,0.09
Bruno Fernandes,MUN,6,484,3.0,1.0,2.0,2.72,0.43,1.40,2.05,0.58,0.50,0.08,0.26,0.77,0.34,0.38,0.11
Jorginho,CHE,6,442,3.0,0.0,1.0,3.12,0.07,0.15,1.37,1.37,0.63,0.02,0.03,0.67,0.05,0.28,0.28
Jarrod Bowen,WHU,7,602,3.0,3.0,0.0,2.29,2.29,0.24,3.27,0.96,0.34,0.34,0.04,0.38,0.38,0.49,0.14
James Rodríguez,EVE,6,521,3.0,3.0,3.0,1.85,1.85,2.76,4.76,2.31,0.32,0.32,0.48,0.80,0.80,0.82,0.40
Alexandre Lacazette,ARS,6,427,3.0,3.0,0.0,2.46,2.46,0.31,2.97,0.33,0.52,0.52,0.07,0.58,0.58,0.63,0.07
Youri Tielemans,LEI,7,630,3.0,1.0,0.0,2.27,0.74,0.08,2.87,2.20,0.32,0.11,0.01,0.33,0.12,0.41,0.31
Diogo Jota,LIV,5,212,3.0,3.0,0.0,1.39,1.39,0.22,2.49,0.88,0.59,0.59,0.10,0.68,0.68,1.06,0.37
Jannik Vestergaard,SOU,6,492,2.0,2.0,0.0,0.50,0.50,0.51,1.11,1.11,0.09,0.09,0.09,0.18,0.18,0.20,0.20
Pierre-Emerick Aubameyang,ARS,7,627,2.0,1.0,1.0,1.35,0.59,1.14,2.5,0.85,0.19,0.08,0.16,0.36,0.25,0.36,0.12
Marcus Rashford,MUN,6,540,2.0,2.0,2.0,1.45,1.45,0.50,2.11,0.65,0.24,0.24,0.08,0.32,0.32,0.35,0.11
Ross Barkley,AVL,6,395,2.0,2.0,0.0,1.19,1.19,0.82,2.32,0.67,0.27,0.27,0.19,0.46,0.46,0.53,0.15
Raheem Sterling,MCI,6,534,2.0,2.0,1.0,1.55,1.55,1.71,4.68,2.56,0.26,0.26,0.29,0.55,0.55,0.79,0.43
Aleksandar Mitrovic,FUL,7,566,2.0,1.0,2.0,3.06,1.54,1.40,2.92,0.30,0.49,0.24,0.22,0.71,0.47,0.46,0.05
Tyrone Mings,AVL,6,540,2.0,2.0,1.0,0.94,0.94,0.07,1.13,1.12,0.16,0.16,0.01,0.17,0.17,0.19,0.19
Michael Keane,EVE,7,630,2.0,2.0,0.0,1.20,1.20,0.14,2.51,2.37,0.17,0.17,0.02,0.19,0.19,0.36,0.34
Pablo Fornals,WHU,7,596,2.0,2.0,2.0,2.10,2.10,0.89,4.03,1.09,0.32,0.32,0.13,0.45,0.45,0.61,0.17
Hélder Costa,LEE,7,584,2.0,2.0,2.0,0.41,0.41,0.49,2.61,1.98,0.06,0.06,0.08,0.14,0.14,0.40,0.30
Mateusz Klich,LEE,7,611,2.0,1.0,2.0,0.92,0.16,0.54,3.89,3.41,0.14,0.02,0.08,0.21,0.10,0.57,0.50
